message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=3.987650])";"30";"mickey";"1728385388.077757326";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=3.987650])";"30";"leo";"1728385388.077613276";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.171035])";"30";"raph";"1728385388.066242016";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.011427])";"30";"leo";"1728385388.061663850";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.011427])";"30";"mickey";"1728385388.061159098";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.193394])";"30";"raph";"1728385388.050069428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.035205])";"30";"mickey";"1728385388.045208574";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.035205])";"30";"leo";"1728385388.045051772";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.215752])";"30";"raph";"1728385388.034302740";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.058982])";"30";"mickey";"1728385388.029652845";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.238111])";"30";"raph";"1728385388.017585486";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.082759])";"30";"mickey";"1728385388.013516757";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.082759])";"30";"leo";"1728385388.013031948";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.022893, y=4.260470])";"30";"raph";"1728385388.002252375";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.021416, y=4.106536])";"30";"mickey";"1728385387.998555690";"./src/turtle.cpp:update:260"
